{'colors': {'enemy': 'red', 'square': 'red', 'hero': 'yellow', 'friend': 'green'}, 'world_size': (700, 500), 'speed': 0, 'hero_initial_position': [600, 440], 'add_physics': False, 'hero_initial_accel': [0, 0], 'num_objects': {'enemy': 1, 'square': 1, 'friend': 1}, 'minimum_success_rate': 1.0, 'observation_line_length': 120.0, 'num_observation_lines': 32, 'object_radius': 10.0, 'Rotation': False, 'tolerable_distance_to_wall': 700, 'hero_bounces_off_walls': False, 'delta_v': 50, 'maximum_speed': [100, 100], 'delta_p': 20, 'accel': 50, 'objects': ['friend', 'enemy', 'square'], 'Timeout': 5, 'object_reward': {'enemy': -10, 'square': -100, 'friend': 10}, 'wall_distance_penalty': -0.0, 'hero_initial_speed': [0, 0], 'mod_observation': False, 'add_psuedo_physics': False}
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 10.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(530.00, 30.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(550.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 30.00), 0, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 50.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 70.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(590.00, 90.00), 1, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 90.00), 2, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 70.00), 3, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 70.00), 3, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 70.00), 3, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 70.00), 3, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 70.00), 3, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 70.00), 3, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
[Point2(570.00, 70.00), 3, 0, Point2(45.00, 250.00), Point2(350.00, 250.00), 0]
